,kms11/cfz,kms34/cfz,kms11,kms34
6848,6.857972531333334,6.621840248666667,6.876123530666667,6.708951850999999
6849,4.608925263,4.9866453113333336,4.850151873999999,5.070789569333333
6850,8.507709384,8.207589912,8.776421920666667,8.552926989666666
6851,3.839889806,3.897148098666666,3.863392542333333,3.8671443839999995
6852,6.580209448999999,6.699399103,6.705386733,6.736701898333333
6853,5.348040250666666,5.300224267666667,5.3807691879999995,5.341390833666666
6854,5.668728981,5.854439165,5.751041880333333,5.855453425333334
6855,4.57722811,4.731354757666666,4.629993540333334,4.768800451333333
6856,4.0549135876666655,4.486572171333333,3.975328730333333,4.1921363073333335
6857,7.1874652580000005,7.066279419333333,7.152765350999999,7.127626161999999
6858,4.240698618333333,4.230092469,4.163223728999999,4.147616236666667
6859,5.707979957,5.476316627666667,5.758970860666667,5.5965604529999995
6860,5.638444655,5.817489275333333,5.851651675666666,5.666242857333333
6861,3.475516254,3.6763561006666663,3.579089263333333,3.5342165773333334
6862,4.256275332333334,4.283857036,4.232906434333334,4.219443873
6863,4.0205254649999995,4.1613311920000005,4.084187508666667,4.152080176666666
6864,3.543950632,3.672439715666666,3.4826490166666666,3.645079128666667
6865,6.459377151666668,6.610199373333333,6.524947333333333,6.604949999333333
6866,6.00908725,6.2876819170000005,5.995123713333332,6.166742683333333
6867,4.308147934333333,4.65748674,4.477691657,4.557452831
6868,3.6689366543333333,3.673831184666667,3.6017488393333337,3.62921216
6869,4.865472949,4.7781974400000005,4.902258335333333,4.812893251666666
6870,4.251192977666666,4.121362079,4.259122791666667,4.158315916333333
6871,6.790848597999999,6.589882886999999,6.7683424023333325,6.774058850333333
6872,3.8893448023333335,3.826159584333334,3.7274933516666664,3.923508489
6873,4.584071362666666,4.630502991,4.560146483,4.656661780333333
6874,4.692652248333333,4.816409084,4.637403085666667,4.802708990666666
6875,3.255142975,3.329605632333333,3.240370677,3.253033403
6876,4.524303458333333,4.227523817000001,4.346601409000001,4.111035925666667
6877,4.274807852333333,4.591606831666667,4.157067712,4.4203046976666664
6878,3.725718276,4.074546224666666,3.7285348143333334,3.6971958160000002
6879,6.239191622,6.194591888666667,6.204961254,6.128489465
6880,3.465848844,3.4625577350000003,3.560934015333333,3.4207723336666667
6881,6.491739182666667,6.234399072666666,6.305915024666667,6.365365763
6882,6.774982623666666,6.58676858,6.620392379666666,6.592407083
6883,4.569136393333333,4.510234941,4.5992005806666665,4.542332593
6884,5.930027386333333,6.105366467666667,5.957353145333333,6.164098552
6885,4.000203736666667,4.274396625666667,4.132067587333334,4.276613641333333
6886,4.831064644333334,4.748212309,4.714022544333333,4.84974621
6887,4.743941816666666,4.697102998666667,4.745568919,4.834750479333333
6888,8.451690535333332,8.295995209666666,8.376447441666668,8.238493949666667
6889,3.9841572053333336,3.8414190240000003,3.9714267326666666,3.7126563933333334
6890,6.82159678,6.828520944,6.967292314000001,6.783744634666667
6891,4.594304692000001,4.687504435666667,4.418268856,4.505040610000001
6892,3.600180463333333,3.822217797,3.8155965556666662,3.762215322
6893,6.898903412666667,7.062868557333334,6.626994913333333,6.882441503
6894,7.550188532666667,8.121125731333334,7.112678394666666,7.4087320026666665
6895,3.9556467863333338,3.8671733200000005,3.8963236059999997,3.9488104733333333
6896,6.014840366333334,6.117113881666666,5.863366798333334,6.266793015
6897,5.567486145,5.342008517,5.377777104333333,5.405260314666667
6898,4.115422776999999,4.302147199333334,4.290001803333333,4.203225200333333
6899,3.769499938333334,3.7712381763333336,3.8065163823333337,3.814230483
6900,6.3948695806666676,6.403756246666667,6.2696415593333334,6.520237552666667
6901,5.878953963666667,5.865361078666666,5.898233484666666,5.900521939000001
6902,6.854539215333333,6.624393827333333,6.878676442333333,6.617421489666667
6903,3.3625415629999993,3.401699303333334,3.4404413366666664,3.4684961829999996
6904,4.8165358629999995,4.744501397333333,4.803020264333334,4.678865484
6905,4.356224461333333,4.481631010333333,4.362215718333334,4.385735270333334
6906,6.1058096950000005,6.1231730996666665,6.140732539666666,6.117396104666667
6907,4.796937074333333,4.845903113666667,4.753837031,4.981588192333334
6908,3.8585271093333335,3.915827568333334,4.021906589,3.915086287333333
6909,4.836022349333333,4.656024036000001,4.592157855666667,4.799089705666667
6910,5.765671273666666,5.669896928333333,5.579281698333333,5.499962273333334
6911,6.3410869000000005,5.693929686333333,6.3948637223333336,5.715702536999999
6912,4.213229011,4.259090558,4.231686347999999,4.068290595000001
6913,4.254515938333333,4.270215853,4.350843366333333,4.324518556666667
6914,4.879975089,4.7091655653333335,4.805729735,4.978724113333334
6915,6.41203264,6.459773596000001,6.529837220666667,6.500791490666667
6916,3.7277889116666665,3.776958456666667,3.8700835013333332,3.764584591666667
6917,5.039979852333333,5.049407719666667,5.081454975,5.017618545666666
6918,4.869023123666667,5.152815961666667,4.980755822666667,5.035268631666667
6919,5.570629343333334,5.905019565666667,5.645733335999999,5.914800629666668
